PMTR11410 0  (125,0)
PMTR11410 1  (62.5,108.253)
PMTR11410 2  (-62.5,108.253)
PMTR11410 3  (-125,1.53081e-14)
PMTR11410 4  (-62.5,-108.253)
PMTR11410 5  (62.5,-108.253)
PMTR11410 6  (250,0)
PMTR11410 7  (125,216.506)
PMTR11410 8  (-125,216.506)
PMTR11410 9  (-250,3.06162e-14)
PMTR11410 10  (-125,-216.506)
PMTR11410 11  (125,-216.506)
PMTR11410 12  (187.5,108.3)
PMTR11410 13  (-0.0405512,216.53)
PMTR11410 14  (-187.541,108.23)
PMTR11410 15  (-187.5,-108.3)
PMTR11410 16  (0.0405512,-216.53)
PMTR11410 17  (187.541,-108.23)
PMTR11410 18  (375,0)
PMTR11410 19  (187.5,324.76)
PMTR11410 20  (-187.5,324.76)
PMTR11410 21  (-375,4.59243e-14)
PMTR11410 22  (-187.5,-324.76)
PMTR11410 23  (187.5,-324.76)
PMTR11410 24  (312.5,108.3)
PMTR11410 25  (62.4594,324.783)
PMTR11410 26  (-250.041,216.483)
PMTR11410 27  (-312.5,-108.3)
PMTR11410 28  (-62.4594,-324.783)
PMTR11410 29  (250.041,-216.483)
PMTR11410 30  (250,216.6)
PMTR11410 31  (-62.5811,324.806)
PMTR11410 32  (-312.581,108.206)
PMTR11410 33  (-250,-216.6)
PMTR11410 34  (62.5811,-324.806)
PMTR11410 35  (312.581,-108.206)
PMTR11410 36  (500,0)
PMTR11410 37  (250,433.013)
PMTR11410 38  (-250,433.013)
PMTR11410 39  (-500,6.12323e-14)
PMTR11410 40  (-250,-433.013)
PMTR11410 41  (250,-433.013)
PMTR11410 42  (437.5,108.3)
PMTR11410 43  (124.959,433.036)
PMTR11410 44  (-312.541,324.736)
PMTR11410 45  (-437.5,-108.3)
PMTR11410 46  (-124.959,-433.036)
PMTR11410 47  (312.541,-324.736)
PMTR11410 48  (375,216.6)
PMTR11410 49  (-0.0811025,433.06)
PMTR11410 50  (-375.081,216.46)
PMTR11410 51  (-375,-216.6)
PMTR11410 52  (0.0811025,-433.06)
PMTR11410 53  (375.081,-216.46)
PMTR11410 54  (312.5,324.9)
PMTR11410 55  (-125.122,433.083)
PMTR11410 56  (-437.622,108.183)
PMTR11410 57  (-312.5,-324.9)
PMTR11410 58  (125.122,-433.083)
PMTR11410 59  (437.622,-108.183)

SiPM 1000  (-489.825,-303.225,-22.8)
SiPM 1001  (-489.825,-287.675,-22.8)
SiPM 1002  (-489.825,-272.125,-22.8)
SiPM 1003  (-489.825,-256.575,-22.8)
SiPM 1004  (-489.825,-241.025,-22.8)
SiPM 1005  (-489.825,-225.475,-22.8)
SiPM 1006  (-489.825,-209.925,-22.8)
SiPM 1007  (-489.825,-194.375,-22.8)
SiPM 1008  (-474.275,-303.225,-22.8)
SiPM 1009  (-474.275,-287.675,-22.8)
SiPM 1010  (-474.275,-272.125,-22.8)
SiPM 1011  (-474.275,-256.575,-22.8)
SiPM 1012  (-474.275,-241.025,-22.8)
SiPM 1013  (-474.275,-225.475,-22.8)
SiPM 1014  (-474.275,-209.925,-22.8)
SiPM 1015  (-474.275,-194.375,-22.8)
SiPM 1016  (-458.725,-303.225,-22.8)
SiPM 1017  (-458.725,-287.675,-22.8)
SiPM 1018  (-458.725,-272.125,-22.8)
SiPM 1019  (-458.725,-256.575,-22.8)
SiPM 1020  (-458.725,-241.025,-22.8)
SiPM 1021  (-458.725,-225.475,-22.8)
SiPM 1022  (-458.725,-209.925,-22.8)
SiPM 1023  (-458.725,-194.375,-22.8)
SiPM 1024  (-443.175,-303.225,-22.8)
SiPM 1025  (-443.175,-287.675,-22.8)
SiPM 1026  (-443.175,-272.125,-22.8)
SiPM 1027  (-443.175,-256.575,-22.8)
SiPM 1028  (-443.175,-241.025,-22.8)
SiPM 1029  (-443.175,-225.475,-22.8)
SiPM 1030  (-443.175,-209.925,-22.8)
SiPM 1031  (-443.175,-194.375,-22.8)
SiPM 1032  (-427.625,-303.225,-22.8)
SiPM 1033  (-427.625,-287.675,-22.8)
SiPM 1034  (-427.625,-272.125,-22.8)
SiPM 1035  (-427.625,-256.575,-22.8)
SiPM 1036  (-427.625,-241.025,-22.8)
SiPM 1037  (-427.625,-225.475,-22.8)
SiPM 1038  (-427.625,-209.925,-22.8)
SiPM 1039  (-427.625,-194.375,-22.8)
SiPM 1040  (-412.075,-303.225,-22.8)
SiPM 1041  (-412.075,-287.675,-22.8)
SiPM 1042  (-412.075,-272.125,-22.8)
SiPM 1043  (-412.075,-256.575,-22.8)
SiPM 1044  (-412.075,-241.025,-22.8)
SiPM 1045  (-412.075,-225.475,-22.8)
SiPM 1046  (-412.075,-209.925,-22.8)
SiPM 1047  (-412.075,-194.375,-22.8)
SiPM 1048  (-396.525,-303.225,-22.8)
SiPM 1049  (-396.525,-287.675,-22.8)
SiPM 1050  (-396.525,-272.125,-22.8)
SiPM 1051  (-396.525,-256.575,-22.8)
SiPM 1052  (-396.525,-241.025,-22.8)
SiPM 1053  (-396.525,-225.475,-22.8)
SiPM 1054  (-396.525,-209.925,-22.8)
SiPM 1055  (-396.525,-194.375,-22.8)
SiPM 1056  (-380.975,-303.225,-22.8)
SiPM 1057  (-380.975,-287.675,-22.8)
SiPM 1058  (-380.975,-272.125,-22.8)
SiPM 1059  (-380.975,-256.575,-22.8)
SiPM 1060  (-380.975,-241.025,-22.8)
SiPM 1061  (-380.975,-225.475,-22.8)
SiPM 1062  (-380.975,-209.925,-22.8)
SiPM 1063  (-380.975,-194.375,-22.8)
SiPM 2000  (-489.825,-178.825,-22.8)
SiPM 2001  (-489.825,-163.275,-22.8)
SiPM 2002  (-489.825,-147.725,-22.8)
SiPM 2003  (-489.825,-132.175,-22.8)
SiPM 2004  (-489.825,-116.625,-22.8)
SiPM 2005  (-489.825,-101.075,-22.8)
SiPM 2006  (-489.825,-85.525,-22.8)
SiPM 2007  (-489.825,-69.975,-22.8)
SiPM 2008  (-474.275,-178.825,-22.8)
SiPM 2009  (-474.275,-163.275,-22.8)
SiPM 2010  (-474.275,-147.725,-22.8)
SiPM 2011  (-474.275,-132.175,-22.8)
SiPM 2012  (-474.275,-116.625,-22.8)
SiPM 2013  (-474.275,-101.075,-22.8)
SiPM 2014  (-474.275,-85.525,-22.8)
SiPM 2015  (-474.275,-69.975,-22.8)
SiPM 2016  (-458.725,-178.825,-22.8)
SiPM 2017  (-458.725,-163.275,-22.8)
SiPM 2018  (-458.725,-147.725,-22.8)
SiPM 2019  (-458.725,-132.175,-22.8)
SiPM 2020  (-458.725,-116.625,-22.8)
SiPM 2021  (-458.725,-101.075,-22.8)
SiPM 2022  (-458.725,-85.525,-22.8)
SiPM 2023  (-458.725,-69.975,-22.8)
SiPM 2024  (-443.175,-178.825,-22.8)
SiPM 2025  (-443.175,-163.275,-22.8)
SiPM 2026  (-443.175,-147.725,-22.8)
SiPM 2027  (-443.175,-132.175,-22.8)
SiPM 2028  (-443.175,-116.625,-22.8)
SiPM 2029  (-443.175,-101.075,-22.8)
SiPM 2030  (-443.175,-85.525,-22.8)
SiPM 2031  (-443.175,-69.975,-22.8)
SiPM 2032  (-427.625,-178.825,-22.8)
SiPM 2033  (-427.625,-163.275,-22.8)
SiPM 2034  (-427.625,-147.725,-22.8)
SiPM 2035  (-427.625,-132.175,-22.8)
SiPM 2036  (-427.625,-116.625,-22.8)
SiPM 2037  (-427.625,-101.075,-22.8)
SiPM 2038  (-427.625,-85.525,-22.8)
SiPM 2039  (-427.625,-69.975,-22.8)
SiPM 2040  (-412.075,-178.825,-22.8)
SiPM 2041  (-412.075,-163.275,-22.8)
SiPM 2042  (-412.075,-147.725,-22.8)
SiPM 2043  (-412.075,-132.175,-22.8)
SiPM 2044  (-412.075,-116.625,-22.8)
SiPM 2045  (-412.075,-101.075,-22.8)
SiPM 2046  (-412.075,-85.525,-22.8)
SiPM 2047  (-412.075,-69.975,-22.8)
SiPM 2048  (-396.525,-178.825,-22.8)
SiPM 2049  (-396.525,-163.275,-22.8)
SiPM 2050  (-396.525,-147.725,-22.8)
SiPM 2051  (-396.525,-132.175,-22.8)
SiPM 2052  (-396.525,-116.625,-22.8)
SiPM 2053  (-396.525,-101.075,-22.8)
SiPM 2054  (-396.525,-85.525,-22.8)
SiPM 2055  (-396.525,-69.975,-22.8)
SiPM 2056  (-380.975,-178.825,-22.8)
SiPM 2057  (-380.975,-163.275,-22.8)
SiPM 2058  (-380.975,-147.725,-22.8)
SiPM 2059  (-380.975,-132.175,-22.8)
SiPM 2060  (-380.975,-116.625,-22.8)
SiPM 2061  (-380.975,-101.075,-22.8)
SiPM 2062  (-380.975,-85.525,-22.8)
SiPM 2063  (-380.975,-69.975,-22.8)
SiPM 3000  (-489.825,-54.425,-22.8)
SiPM 3001  (-489.825,-38.875,-22.8)
SiPM 3002  (-489.825,-23.325,-22.8)
SiPM 3003  (-489.825,-7.775,-22.8)
SiPM 3004  (-489.825,7.775,-22.8)
SiPM 3005  (-489.825,23.325,-22.8)
SiPM 3006  (-489.825,38.875,-22.8)
SiPM 3007  (-489.825,54.425,-22.8)
SiPM 3008  (-474.275,-54.425,-22.8)
SiPM 3009  (-474.275,-38.875,-22.8)
SiPM 3010  (-474.275,-23.325,-22.8)
SiPM 3011  (-474.275,-7.775,-22.8)
SiPM 3012  (-474.275,7.775,-22.8)
SiPM 3013  (-474.275,23.325,-22.8)
SiPM 3014  (-474.275,38.875,-22.8)
SiPM 3015  (-474.275,54.425,-22.8)
SiPM 3016  (-458.725,-54.425,-22.8)
SiPM 3017  (-458.725,-38.875,-22.8)
SiPM 3018  (-458.725,-23.325,-22.8)
SiPM 3019  (-458.725,-7.775,-22.8)
SiPM 3020  (-458.725,7.775,-22.8)
SiPM 3021  (-458.725,23.325,-22.8)
SiPM 3022  (-458.725,38.875,-22.8)
SiPM 3023  (-458.725,54.425,-22.8)
SiPM 3024  (-443.175,-54.425,-22.8)
SiPM 3025  (-443.175,-38.875,-22.8)
SiPM 3026  (-443.175,-23.325,-22.8)
SiPM 3027  (-443.175,-7.775,-22.8)
